5:530,864:aB4aW3fB5aW4dW5gB2fB2c
5:5,937,602:cW5eW4eW3jW2dW5cB6
5:7,928,469:hB4dW3B3W2B3aW4bB2cB2B2bB4f
5:161,408:gB5dW5B4bB4hB3B2i
5:2,772,537:cB2cB5iW4aW3fB3B2W3eB4a
5:6,830,559:B6dB3pB3fW2aB4B3bB3
5:2,802,541:aW2hW3bB3jB2bB3W3bB4d
5:4,070,768:gW4aW3fB2gW5bB4aB3cW5b
5:7,793,947:B7fB3cB2W5iB2eW2eW3a
5:975,117:aB2bB2gW5fW2cB3dW2bW5d
5:1,520,692:B3aB3mW3W5bW2aB4aW2gW3c
5:1,678,415:B4eB3dW2fB2dB4B2bW2bB3e
5:4,645,634:bW4cW5B5bB4eB2cW3dB2bW2g
5:1,737,679:B6gB2aB2kB3W5bB2eW3aB2a
5:2,340,433:aB3aW3fB2cW2aB2bB2B3gB2B2aW2bW2a
5:3,136,306:B8hB2aW2dB3hB4aW3eB5b
5:1,208,094:iB4aB3W3aB3cB4aB2bW3gW5d
5:1,929,002:dW4gW4B3bB2B3iB3aB2dW5a
5:1,952,465:B6B2cB6cB2fB5bB2kB2cB7
5:7,970,361:cB4B2hB3aB2aB3iB2aW2f
5:4,148,488:eB10aW4eB2eB2bB4bB2dB3cB2a
5:1,471,690:iB2aW2cB4W2bB3W3aB2hW5d
5:1,239,516:bW5eW2aB2iB2B3eB2B2bB5bW2a
7:1,401,786:fW3fB4W2eW3dB4B5aB5dB2aW3cB2cB3bW2bB2cB3B3cB2cW3a
7:3,213,310:cB5cB5cB3dB3aB3dB2dB4aW2bB3bW2B2bW4B2dB2bB2B2bW2cB2f
7:8,156,383:aB7hB4dB4cB3eW4bB3aW4eW2W4fB5dB2cB5dB3aB4c
10:210,686:aB8dW7gB2bB4dB3fW3gB3aB3bW4W5bB3B2jB2dB2cB2W3cB3eB4bW3W2jB4bW3iB6kW3aB5
10:2,760,173:fW4eB3dB2gB4W3W5bB3W4bB2qB3aW6lW3dW2cB7B8cB2bB2fB5aB3dB2B2bB2dW4cW2cB3aB3aB2a
10:8,416,278:dB2aB2aB2B2B5cB2gW6fW8hW2bW2cB4bW2B2fW2dB5dW6aW2bB3bB5nB2bB3hB2W2fW5gB6bB6
10:2,430,834:B3B2bB4B3iW3B2aB2cB3eB2bB3bW2W2bB2eB2fB4W2B3W2aW3bW4cB3B2bB2aW3dB2hW5aW2cB2B2dB3aB3eW2hB2eB2b
10:8,132,183:kB12cB4eB2bW2aB4bW3iW4aW4cW3bB3dB3cW4hW9eB5nW5bB2aW2aB3gB3bB3W2aB5bB2B2eB4b
10:6,959,600:aB2B4bW3aB4W3aB4cW2dB3bB2dW2eB2fB4eW3bB4W6bB2dW2W2cB3bW2iB2cB2bB2fB3B2eB2W3aB3aW2mW6d
10:551,246:aB2eB2bB3bW2B2cB2eB4bW3W3bB2bB2B3aB3gW2aB3aB2aW3bB2B6eB2kW2iB2eW2B2bW3B3bW2dW3dW2dW4gB7
10:176,186:bW3cB2kB2dW4aW4W4aB8aB3aB2eB4bW2dB2aB2bW2B2bW6dB3fW4kB2fW2aB2bB2bB4bB3B3cB2aB2bB4m
10:6,593,963:iW9cB7gB2dB3aB3bB2bB2aB2iB2B2dB2gW2aB3bB6dB4gB4fB2aW5bW2aW2dW4bB2B4cW3dB6fW2c
10:1,897,766:jB3bW2bB2B3fB3aW5eB3B2B2eB4cB3bW3aW2B4cW6aW3iB2dW3W3hB2dW2eB4B2aB3cB2kW2cW3B4bB2a
10:4,162,883:eW7eW2aB4oW8W7eB4bB4rW2aB3cW6bW3iW6lB2bB2W5nW8aB2bW6f
15:9,183,977:kW10B11eB2cB4fB2cW2bB4W3bB2eB7gW3aW2aW3aB2cW2B3dB4W2B2B2gW2iB2aW2dB3B2bW4B4dW2aW6aB2hW2cB2dB2bW5eB3W3bW9dB4aB5cB2bB2eB3dW5gW6aB2B4cW2eW5dB4cB2dW4kW3bW2cW2bB2fB6W7B3eB7iW3cW2a
15:608,117:eB4dW3gB2B3bB2B2fB2W15hW2aW3fW2B2aB2aB3B4aB2dW2cW2pW6W2aB3cB5B2B4aB2aW15aW5bW2gB2iB2B2B2aB3mB2jB3cB3cW3dW8cW2dB2bW3gB5gW3hB4B3W3iW2cB2B2aW4cW2fB3aB2B3aB6W3eB16jB3d
